CORT-001,Cortadora Varilla Alba C42L,"$224,911.20",Varilla hasta 1.25" - 83 cortes/min,ALBA
CORT-002,Cortadora Varilla Alba C55L,"$349,800",Varilla hasta 1.5" - 42 cortes/min,ALBA
CORT-003,Cortadora Piso HYPERMAQ,Consultar modelo,Concreto y asfalto,HYPERMAQ
CORT-004,Dobladora Varilla Alba D42L,"$226,011.20",Varilla hasta 1.25" - 5.5 KW,ALBA
CORT-005,Estribadora Alba DEL16,"$87,556",700-1000 estribos/hora - 28 RPM,ALBA
CORT-006,Estribadora Alba DEL24,"$131,400",350-500 estribos/hora,ALBA

EQUIPOS DE ELEVACIÓN
====================

CÓDIGO,NOMBRE PRODUCTO,PRECIO,DESCRIPCIÓN,MARCA
ELEV-001,Malacate 1 Ton HYPERMAQ,"$82,767.42",Motor 13 HP - 75-150 mts cable 3/8",HYPERMAQ
ELEV-002,Malacate 500 kg HYPERMAQ,"$43,094.23",Motor 5.5 HP - 50 mts cable 1/4",HYPERMAQ
ELEV-003,Vogue Concreto 100 lt,"$8,658.44",Con o sin triángulos,HYPERMAQ
ELEV-003,Vogue Concreto 160 lt,"$10,843.79",Con o sin triángulos,HYPERMAQ
ELEV-003,Vogue Concreto 260 lt,"$13,365.35",Con o sin triángulos,HYPERMAQ
ELEV-004,Vogue Concreto 320 lt,"$15,270.53",Con o sin triángulos,HYPERMAQ

ANDAMIOS Y CIMBRA
=================

CÓDIGO,NOMBRE PRODUCTO,PRECIO,DESCRIPCIÓN,MARCA
AND-001,Andamio Sistema Europeo 1.56x2m,"$4,301.10",2 marcos - 4 coples - 2 crucetas,HYPERMAQ
AND-001,Andamio Sistema Europeo 1.20x2m,"$4,519.80",Sistema europeo completo,HYPERMAQ
AND-002,Plataforma Galvanizada para Andamio,"$1,998",Seguridad certificada,HYPERMAQ
AND-003,Puntal Cimbra HYPERMAQ,"$1,146",Telescópico regulable,HYPERMAQ
AND-004,Silletas para Losa,Varios modelos,Series EA - SU - LM,HYPERMAQ
AND-005,Moño Cimbra 10 cm,"$19.17",Separador,HYPERMAQ
AND-005,Moño Cimbra 150 cm,"$32.86",Separador máximo,HYPERMAQ
AND-006,Accesorios Cimbra,Varios,Cuñas - gatos - ruedas - cabezales,HYPERMAQ

EQUIPOS VARIOS
===============

CÓDIGO,NOMBRE PRODUCTO,PRECIO,DESCRIPCIÓN,MARCA
VAR-001,Motobomba 2-3 Pulgadas,Consultar potencia,Achique y trasiego,VARIOS
VAR-002,Motobomba 4-6 Pulgadas,Consultar modelo,Mayor caudal,VARIOS
VAR-003,Motobomba Sumergible,Consultar especificaciones,Pozos y excavaciones,VARIOS
VAR-004,Motosierra,Consultar modelo,50cc a 70cc - MAKITA,MAKITA
VAR-005,Compresor de Air,Consultar capacidad,25 a 185 lt,VARIOS

EQUIPOS DE ENERGÍA
==================

CÓDIGO,NOMBRE PRODUCTO,PRECIO,DESCRIPCIÓN,MARCA
ENER-001,Generador Gasolina,Consultar capacidad,2.5 kW a 7 kW,HONDA/KOHLER/MPOWER
ENER-002,Generador Diesel,Consultar capacidad,Mayor autonomía,VARIOS
ENER-003,Torre de Iluminación,Consultar especificaciones,Focos LED múltiples,VARIOS

NOTAS
=====
- Todos los precios incluyen IVA 16%
- Vigentes desde Junio 2025
- Disponibles descuentos por volumen
- Consultar asesor: 984 801 8317
- Email: ventas3.kingmaq@gmail.com
